"year","org","metric","value","domain"
2023,"QWO","A and E Full Time Equivalent (FTE) for Care Providers (per 100,000 population)",16.243953247653,"Capacity"
2023,"QWO","A and E Full Time Equivalent (FTE) for Consultants (per 100,000 population)",4.29336184155966,"Capacity"
2023,"QWO","A and E Full Time Equivalent (FTE) for Doctors (excluding Consultants) (per 100,000 population)",9.38447061737937,"Capacity"
2023,"QWO","A and E Full Time Equivalent (FTE) for Nurses (per 100,000 population)",24.9957198807146,"Capacity"
2023,"QWO","Total beds per 1,000 60+ yrs (General & Acute - overnight)",1.51651986000654,"Capacity"
2023,"QWO","Mean proportion of beds that contain a patient with confirmed COVID",2.45965946383939,"Capacity"
2023,"QWO","Proportion of available beds that are occupied (General & Acute - day)",64.6946912470871,"Capacity"
2023,"QWO","Children and Young People Mental Health spend - excluding learning disabilities and eating disorders per population",16.007077173578,"Capacity"
2023,"QWO","Children and Young People Mental Health spend - eating disorders per population",1.38122089493825,"Capacity"
2023,"QWO","Improving Access to Psychological Therapies spend (£k) per population",14.8181090678567,"Capacity"
2023,"QWO","Early Intervention in Psychosis spend (£k) per population",5.56694101701807,"Capacity"
2023,"QWO","Adult community crisis care spend (£k) per population",19.3166849877838,"Capacity"
2023,"QWO","A and E and Ward Liaison mental health services spend (£k) per population",5.63053459571792,"Capacity"
2023,"QWO","Mental health spend as a proportion of overall allocation",14.8506,"Capacity"
2023,"QWO","Mental Health total spend per population",246.241032922978,"Capacity"
2023,"QWO","Workforce FTEs per 100,000 population (Total - Acute)",1537.32417916412,"Capacity"
2023,"QWO","Proportion of available beds that are occupied (General & Acute - overnight)",91.8755626193953,"Capacity"
2023,"QWO","Proportion of available beds that are occupied (Maternity - overnight)",50.786409585737,"Capacity"
2023,"QWO","Proportion of available beds that are occupied (Mental Illness - overnight)",86.7351721320406,"Capacity"
2023,"QWO","Primary care workforce (FTEs) per 100,000 population (Admin/Non-Clinical)",119.729021378308,"Capacity"
2023,"QWO","Primary care workforce (FTEs) per 100,000 population (Direct Patient Care)",25.2040719530746,"Capacity"
2023,"QWO","Primary care workforce (FTEs) per 100,000 population (GP)",60.5765151326124,"Capacity"
2023,"QWO","Primary care workforce (FTEs) per 100,000 population (Nurses)",30.2328787512521,"Capacity"
2023,"QWO","Atrial fibrillation: QOF prevalence (all ages)",1.94896077664721,"Demand"
2023,"QWO","Asthma: QOF prevalence (all ages)",6.68988269111568,"Demand"
2023,"QWO","Cancer: QOF prevalence (all ages)",3.24452825040804,"Demand"
2023,"QWO","CHD: QOF prevalence (all ages)",2.99800552905662,"Demand"
2023,"QWO","CKD: QOF prevalence (18+ yrs)",4.21552066890094,"Demand"
2023,"QWO","COPD: QOF prevalence (all ages)",2.08060853168398,"Demand"
2023,"QWO","Dementia: QOF prevalence (all ages)",0.732188137016538,"Demand"
2023,"QWO","Diabetes mellitus: QOF prevalence (17+ yrs)",8.3018259975564,"Demand"
2023,"QWO","Epilepsy: QOF prevalence (18+ yrs)",0.864397316416032,"Demand"
2023,"QWO","Heart failure: QOF prevalence (all ages)",1.04129199673341,"Demand"
2023,"QWO","Hypertension: QOF prevalence (all ages)",14.6972120270586,"Demand"
2023,"QWO","Obesity: QOF prevalence (18+ yrs)",13.8801861356987,"Demand"
2023,"QWO","Osteoporosis: QOF prevalence (50+ yrs)",0.98837102492973,"Demand"
2023,"QWO","Peripheral arterial disease: QOF prevalence (all ages)",0.650336928052564,"Demand"
2023,"QWO","Palliative care: QOF prevalence (all ages)",0.587718516823293,"Demand"
2023,"QWO","Rheumatoid arthritis: QOF prevalence (16+ yrs)",0.754060112035981,"Demand"
2023,"QWO","Stroke and transient ischaemic attack: QOF prevalence (all ages)",1.88816873574546,"Demand"
2023,"QWO","% active smokers (GPPS)",14.9307,"Demand"
2023,"QWO","FTE days sick per 10,000 population (acute)",788.112163140069,"Capacity"
2023,"QWO","FTE days available per 100 population (acute)",146.374789424551,"Capacity"
2023,"QWO","FTE days sick per 10,000 population (mental health)",194.583351166568,"Capacity"
2023,"QWO","FTE days available per 100 population (mental health)",33.7697965175401,"Capacity"
2023,"QWO","Proportion of population in age band (0-29)",37.5972609472866,"Demand"
2023,"QWO","Proportion of population in age band (30-59)",40.6304881942319,"Demand"
2023,"QWO","Proportion of population in age band (60+)",21.7722508584815,"Demand"
2023,"QE1","A and E Full Time Equivalent (FTE) for Care Providers (per 100,000 population)",22.5220612468747,"Capacity"
2023,"QE1","A and E Full Time Equivalent (FTE) for Consultants (per 100,000 population)",3.76354427073669,"Capacity"
2023,"QE1","A and E Full Time Equivalent (FTE) for Doctors (excluding Consultants) (per 100,000 population)",12.181953962332,"Capacity"
2023,"QE1","A and E Full Time Equivalent (FTE) for Nurses (per 100,000 population)",32.204791421379,"Capacity"
2023,"QE1","Total beds per 1,000 60+ yrs (General & Acute - overnight)",1.44512269231063,"Capacity"
2023,"QE1","Mean proportion of beds that contain a patient with confirmed COVID",2.30914315497451,"Capacity"
2023,"QE1","Proportion of available beds that are occupied (General & Acute - day)",92.0021839072338,"Capacity"
2023,"QE1","Children and Young People Mental Health spend - excluding learning disabilities and eating disorders per population",16.1486239314953,"Capacity"
2023,"QE1","Children and Young People Mental Health spend - eating disorders per population",1.51909519498055,"Capacity"
2023,"QE1","Improving Access to Psychological Therapies spend (£k) per population",15.2132877020146,"Capacity"
